Method_Name,Total_Number_Of_Lines
MutableLongTest.testDecrement,6
DateUtilsFragmentTest.testMinuteFragmentInLargerUnitWithDate,5
FieldUtilsTest.testGetDeclaredFieldForceAccess,17
CompareToBuilderTest.testBooleanArray,22
EntityArraysTest.testISO8859_1_ESCAPE,19
StrTokenizerTest.testTokenizeSubclassInputChange,10
StringUtilsTrimEmptyTest.testIsBlank,7
RandomStringUtilsTest.chiSquare,9
StringUtilsSubstringTest.testSubstringsBetween_StringStringString,40
HashCodeBuilderTest.testReflectionHierarchyHashCodeEx1,3
BooleanUtilsTest.test_negate_Boolean,5
StringUtilsTrimEmptyTest.testStripStart_StringString,23
ConstantInitializerTest.testEqualsFalse,7
ArrayUtilsRemoveMultipleTest.testRemoveAllObjectArray,36
DiffBuilderTest.testObjectsNotSameNorEqual,10
ArrayUtilsRemoveMultipleTest.testRemoveElementIntArray,40
CharUtilsTest.testIsAsciiControl_char,15
RecursiveToStringStyleTest.testAppendSuper,7
MutableLongTest.testGetSet,14
DateUtilsRoundingTest.testTruncateDayOfMonth,5
StrBuilderAppendInsertTest.testAppendln_FormattedString,20
ToStringBuilderTest.testAppendToString,7
CharSetTest.testGetInstance,9
StringUtilsSubstringTest.testSubstringBefore_StringString,16
ValidateTest.testNotBlankMsgNotBlankStringShouldNotThrow,4
StrLookupTest.testSystemProperiesLookup,10
LazyInitializerTest.createInitializer,3
ToStringBuilderTest.testReflectionFloatArray,7
DateUtilsTest.assertDate,11
ValidateTest.testIsInstanceOfExceptionMessage,8
NumberUtilsTest.testMaxShort_nullArray,3
StringUtilsTrimEmptyTest.testStripToEmpty_String,9
DiffBuilderTest.testSimilarObjectIgnoresAppends,8
ValidateTest.testNotBlankMsgBlankStringWithWhitespacesShouldThrow,9
MutableByteTest.testIncrement,6
StrSubstitutorTest.testReplaceInVariable,20
DateUtilsRoundingTest.testTruncateYear,5
WordUtilsTest.testCapitalizeFully_String,11
RecursiveToStringStyleTest.testLong,5
ToStringBuilderTest.testLong,5
DateUtilsFragmentTest.testMinutesOfMonthWithDate,7
MutableByteTest.testAddValueObject,5
